Name der Klinik,Textuelle Bewertung,Sternebewertung,Datum der Bewertung,Likes
Herzogin Elisabeth Hospital,"Mir wurden vor kurzem Drähte und Schrauben in meinen Fuß operiert, welche nun jedoch extreme Probleme verursachen mit Höllenschmerzen und möglicherweise auch Langzeitschäden wenn sie nicht schnellstmöglich wieder heraus genommen werden. In diesem Krankenhaus habe ich versucht das Problem zu schildern, jedoch darf man nicht mal aussprechen sondern wird direkt unterbrochen. Dann bekommt man einen Gesprächstermin für in 3 Monaten!! Da das noch nicht genug ist, kann man mir dann aber noch keinen op Termin nennen - was mindestens noch mal eine Wartezeit von einem Monat bedeutet. Auch hier wird man frech unterbrochen. Wenn das schon so anfängt, kann man vermutlich nur froh sein, dass man hier nicht operiert wird. Meiner Ansicht nach absolut nicht zu empfehlen wenn man so mit Patienten umgeht.",1,vor 2 Jahren,3
Herzogin Elisabeth Hospital,Ich lag 10 Wochen im heh und kann sagen das  die Ärzte und Schwestern  und alles was da noch dran hing super waren. Es gab Schwestern die ein bisschen kratzbürstig waren aber sonst.haben alles getan damit es mir wieder super geht. Schönen Dank für alles.  .,5,vor 2 Jahren,1
Herzogin Elisabeth Hospital,"Ich habe sehr gute Erfahrungen mit dem HEH gemacht. Sowohl die Betreuung durch die Ärzte als auch die pflegerische Betreuung durch die Schwestern ist hervorragend. Die Ärzte haben alles verständlich erklärt, die Ärzte haben sich ausreichend Zeit genommen, Nachfragen beantwortet. Die Angst vor einer OP wurde einem wunderbar genommen durch sehr einfühlsame Gespräche und Scherze. Essen war auch sehr gut. Rundherum war es eine sehr gute Betreuung.",5,vor einem Jahr,4
Herzogin Elisabeth Hospital,Eine super tolle Klinik mit tollen Ärzten und Ärzteninnen und Pflegepersonal .Ich habe mich sehr gut aufgehoben gefühlt .Die Sauberkeit ist top und auf Wünsche wird unheimlich gut eingegangen .Ich war mit starken Hand und Fussgelenkschmerzen hier mit schmerzhaften Wassereinlagerungen .Nur leider sind Autoemunkrankheiten schwer zu greifen .Ich hoffe auf den letzten Tag hier und kann nur sagen top Klinik .Danke an das gesamte Team des HEH Braunschweig,5,vor einem Jahr,1
Herzogin Elisabeth Hospital,Sehr gute Ärzte und Pflegekräfte. Sauber. Professor Dr. Heller ein Genie in seinem Fach und das gleiche gilt für Dr. Thorban und alle Kollegen. Essen für den Privatpatient ist sehr gut.,5,vor 3 Jahren,2
Herzogin Elisabeth Hospital,"Am 15.11.2018 Hüft-Tep links erhalten. Hatte 30 Jahre Arthrose bis hin zum Endstadium Cox-Arthrose durch Sportverschleiß. zum Schluss konnte ich so gut wie gar nicht mehr auftreten und habe das Bein nachgezogen. War bei Prof.Dr.med Heller. Alles Top!!! Jetzt habe ich keine Schmerzen mehr und kann so gut wie alles wieder machen.**Ein Wahnsinns-Gefühl. Vielen Dank dafür, auch an das ganze Team.**P.S. Wer sich für eine OP entscheidet, unbedingt vorher das Patienten-Seminar besuchen. Hier wird man gut auf die OP vorbereitet.**Viele Grüsse",5,vor 2 Jahren,1
Herzogin Elisabeth Hospital,"Tolle Klinik, haben alle auch für ältere Patienten viel Verständnis. In der Chirurgie tolle Ärzte, fachlich kompetent und menschlich okay. Pflegekräfte super! Einfach nur empfehlenswert!",5,vor 4 Jahren,1
Herzogin Elisabeth Hospital,"Parkplatz ist nah, das ist gut. Ansonsten standardmäßig ausgestattet",5,vor 2 Jahren,5
Herzogin Elisabeth Hospital,"Ich war eine Woche in der Klinik, habe schon einige Krankenhauserfahrung, aber so kompetent und liebevoll war es noch nirgends. Tolle Ärzte , sehr engagierte Schwestern,  sehr schöne Zimmer und gutes Essen.",5,vor 2 Jahren,2
Herzogin Elisabeth Hospital,"Ich war wegen Akuten Gallenleiden dort,ich hab mich super aufgehoben gefühlt,ganz liebe Krankenschwestern und super Ärztetaem,Vielen Lieben Dank",5,vor 2 Jahren,3
Herzogin Elisabeth Hospital,dieser Klinik könnte man auch 6 Sterne geben super nettes Pflegepersonal und kompetente Therapeuten  gutes Ärzte Team in der Rheumatologie Verpflegung gut und reichhaltig,5,vor 2 Jahren,3
Herzogin Elisabeth Hospital,"Ich war dort als ich eingeschränkt Krankenversichert war, keine Luft mehr bekommen ich wurde damit abgewimmelt das es Physisch sei. Erst als ich wieder Krankenversichert war wurde ich in Wolfsburg operiert, womit der Physische Aspekt wegfallen dürfte.",1,vor 2 Jahren,3
Herzogin Elisabeth Hospital,Top Klinikum,5,vor 7 Monaten,1
